Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Hot Tub/Sauna,Monday February 17,,,11:30 am - 3:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2047721
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Hot tub/Steam room,Monday February 17,,,11:30 am - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2050296
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Monday February 17,,,12:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2049026
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Family Swim,Monday February 17,,,1:00 pm - 4:00 pm,Special instructions - One time activity - View details,/en/recreation-and-parks/drop-in-programs/2052641
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Family Swim,Monday February 17,,,1:00 pm - 3:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2051621
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Monday February 17,,,1:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2055376
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Swim,Monday February 17,,,1:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2050186
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Wave Swim,Monday February 17,,,1:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/1914006
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Wave Swim,Monday February 17,,,1:00 pm - 5:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2058011
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Public Swim,Monday February 17,,,1:00 pm - 3:30 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2045661
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Monday February 17,,,1:00 pm - 4:00 pm,Special instructions - One time activity - View details,/en/recreation-and-parks/drop-in-programs/2047271
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Public Swim,Monday February 17,,,1:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2036016
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Public Swim,Monday February 17,,,1:30 pm - 3:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2053201
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Pickleball,Monday February 17,,,1:30 pm - 3:30 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2053621
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Open Gym,Monday February 17,,,1:45 pm - 3:45 pm,Special instructions - One time activity - View details,/en/recreation-and-parks/drop-in-programs/2036131
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym,Monday February 17,,,2:00 pm - 3:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2052416
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Rock wall,Monday February 17,,,2:00 pm - 3:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2052546
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Badminton (Family),Monday February 17,,,2:15 pm - 3:30 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2053061
Blackburn Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/blackburn-arena,Family Skating,Monday February 17,,,3:00 pm - 3:50 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2054556
Navan Memorial Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/navan-memorial-centre,Family Skating,Monday February 17,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1466166
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Aqua- General Lite,Monday February 17,,,3:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281176
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Monday February 17,,,3:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1454141
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Shinny Hockey - Youth,Monday February 17,,,3:00 pm - 3:50 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2055676
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym,Monday February 17,,,3:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2052426
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Rock wall,Monday February 17,,,3:00 pm - 4:00 pm,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2052556
